safra,cultura,fazenda,talhao,variedade,area_ha,produtividade_sc_ha,producao_total_sc
24/25,MILHO,FAZENDA SÃO CRISTOVÃO,VALDIR SC,S DKB 360 PRO3,304.0,153.04,46522.68
24/25,MILHO,FAZENDA SÃO CRISTOVÃO,DRENO FELIX SC,S DKB 360 PRO3,26.0,156.39,4066.26
24/25,MILHO,FAZENDA SÃO CRISTOVÃO,MAGGIONI SC,S DKB 360 PRO3,300.0,152.26,45677.55
24/25,MILHO,FAZENDA CRISTALINA,1 CR,S DKB 360 PRO3,196.0,153.28,30042.74
24/25,MILHO,FAZENDA CRISTALINA,4 5 6 CR,S DKB 360 PRO3,286.0,151.67,43378.85
24/25,MILHO,FAZENDA CRISTALINA,FELIX CR,S EXPERIMENTOS,36.0,155.32,5591.49
24/25,MILHO,FAZENDA CRISTALINA,FELIX CR,S DKB 360 PRO3,294.0,169.25,49759.6
24/25,MILHO,FAZENDA CALIFORNIA,1 CA,S DKB 360 PRO3,163.0,158.47,25830.36
24/25,MILHO,FAZENDA CALIFORNIA,2 3 CA,S DKB 360 PRO3,375.0,165.71,62140.51
24/25,SOJA,FAZENDA CRISTALINA,1 CR,S NEO 810,231.91,67.56,15668.92
24/25,SOJA,FAZENDA CRISTALINA,2 3 CR,S EXPERIMENTOS,39.4,68.74,2708.47
24/25,SOJA,FAZENDA CRISTALINA,2 3 CR,S 80I82 IPRO,382.2,69.27,26476.1
24/25,SOJA,FAZENDA CRISTALINA,2 3 CR,S 78IX80RSF 12X,8.3,69.36,575.73
24/25,SOJA,FAZENDA CRISTALINA,2 3 CR,S 80I85RSF IPRO,45.6,70.73,3225.51
24/25,SOJA,FAZENDA CRISTALINA,4 5 6 CR,S NEO 810,307.77,67.15,20668.09
24/25,SOJA,FAZENDA CRISTALINA,PEDRÃO CR,S HO COARI 12X,201.22,62.04,12484.21
24/25,SOJA,FAZENDA CRISTALINA,FELIX CR,S HO COARI 12X,336.6,71.17,23956.64
24/25,SOJA,FAZENDA CALIFORNIA,1 CA,S 80IX81RSF,163.43,71.31,11654.97
24/25,SOJA,FAZENDA CALIFORNIA,2 3 CA,S NEO 810,138.08,65.67,9067.27
24/25,SOJA,FAZENDA CALIFORNIA,2 3 CA,S 80IX81RSF,237.0,71.22,16880.17
24/25,SOJA,FAZENDA CALIFORNIA,4 5 6 CA,S NEO 810,285.0,65.12,18558.19
24/25,SOJA,FAZENDA CALIFORNIA,4 5 6 CA,S HO COARI 12X,89.49,61.11,5468.54
24/25,SOJA,FAZENDA CALIFORNIA,ROQUE CA,S NEO 810,481.0,65.66,31584.35
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,1B 2B SC,S 80I85RSF IPRO,4.87,62.04,302.12
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,1B 2B SC,S HO COARI 12X,280.0,60.51,16942.0
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,SEDE SC,S NEO 810,16.37,68.04,1113.89
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,VALDIRZINHO SC,S HO COARI 12X,51.83,61.39,3181.74
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,VALDIR SC,S NEO 810,313.01,68.57,21463.61
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,DRENO SC,S NEO 810,215.36,67.01,14431.65
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,DRENO FELIX SC,S HO COARI 12X,182.79,72.06,13172.4
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,MAGGIONI SC,S NEO 810,302.7,72.15,21841.08
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,1A 2A SC,S NEO 810,348.21,65.16,22688.34
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,3 SC,S NEO 810,160.0,64.87,10379.72
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,3 SC,S HO COARI 12X,58.38,65.68,3834.19
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,JURA SC,S NEO 810,132.05,58.06,7667.24
24/25,SOJA,FAZENDA SÃO CRISTOVÃO,CHACARÁ SC,S NEO 810,18.43,60.11,1107.87
